arm	population	n	tir_70_180_pct	tbr_70_pct	worst_tbr_54_pct	time_70_120_pct	time_70_160_pct	tar_180_pct	mean_bg_mg_dl	total_insulin_u	auto_bolus_u	comparator_status
Dossi+AB basal-continuity Standard	overall	300	82.583	0.028	0.000	52.111	76.486	17.389	135.622	2.571	1.572	Current Dossi in-silico headline arm; production-default plant path with adult AB basal continuity.
LoopAlgorithm+AB	overall	300	79.528	0.181	4.167	48.778	73.667	20.292	138.410	2.259	1.482	Pinned LoopAlgorithm.run(input:) package comparator, not full Loop app runtime.
Dossi-noAB basal-continuity	overall	300	71.000	0.000	0.000	42.222	66.250	29.000	152.964	1.435	0.000	Latest fixed plant path; basal modulation only with adult no-auto-bolus basal continuity.
LoopAlgorithm-noAB	overall	300	70.903	0.000	0.000	42.000	66.542	29.097	153.061	1.323	0.000	Pinned LoopAlgorithm.run(input:) package comparator, autobolus disabled.
OpenAPS-noSMB	overall	300	69.431	0.000	0.000	42.111	67.250	30.569	152.649	1.065	0.000	Local oref0 determine-basal bridge; useful basal-only reference.
OpenAPS+SMB	overall	300	74.667	0.278	29.167	43.819	71.875	25.056	144.327	2.107	1.109	Fresh fixed oref0 SMB bridge run; useful Trio/OpenAPS SMB reference, with child severe-low outlier noted.
TrioOref+SMB	overall	300	80.222	0.694	41.667	49.875	74.194	19.083	135.920	2.505	1.633	nightscout/trio-oref algorithm boundary; child severe-low outlier noted.
TrioOref-noSMB	overall	300	70.583	0.097	0.000	43.125	66.194	29.319	151.666	1.372	0.000	nightscout/trio-oref algorithm boundary with SMB disabled.
Dossi+AB basal-continuity Standard	adult	100	83.583	0.000	0.000	53.542	77.083	16.417	135.033	2.870	1.653	Adult primary target population.
LoopAlgorithm+AB	adult	100	79.167	0.000	0.000	43.625	71.917	20.833			Pinned LoopAlgorithm.run(input:) package comparator.
Dossi-noAB basal-continuity	adult	100	69.167	0.000	0.000	39.792	64.542	30.833			Adult basal-only Dossi arm with no-auto-bolus basal continuity.
LoopAlgorithm-noAB	adult	100	69.042	0.000	0.000	38.667	64.000	30.958			Adult basal-only LoopAlgorithm arm.
OpenAPS+SMB	adult	100	74.583	0.250	0.000	42.250	70.917	25.167	144.811	2.494	1.288	Adult fixed oref0 SMB bridge slice; no adult TBR54.
OpenAPS-noSMB	adult	100	68.917	0.000	0.000	41.083	65.875	31.083	155.000	1.324	0.000	Adult oref0 basal-only slice.
TrioOref+SMB	adult	100	80.833	0.583	0.000	45.542	73.458	18.583	137.123	2.930	1.890	Adult Trio-oref SMB slice; no adult TBR54, TBR70 below 1%.
TrioOref-noSMB	adult	100	69.000	0.000	0.000	40.625	64.000	31.000	155.073	1.684	0.000	Adult Trio-oref noSMB slice.
Dossi+AB basal-continuity Standard	adolescent	100	81.500	0.000	0.000	51.042	75.375	18.500	136.572	3.368	2.065	Stress slice, not target population.
LoopAlgorithm+AB	adolescent	100	79.000	0.000	0.000	51.375	73.833	21.000			Stress slice, not target population.
Dossi+AB basal-continuity Standard	child	100	82.667	0.083	0.000	51.750	77.000	17.250	135.262	1.476	0.998	Stress slice; pediatric-only TBR70 exposure.
LoopAlgorithm+AB	child	100	80.417	0.542	4.167	51.333	75.250	19.042			Stress slice; child-only severe-low row.
---
