arm	population	n	tir_70_180_pct	tbr_70_pct	worst_tbr_54_pct	time_70_120_pct	time_70_160_pct	tar_180_pct	mean_bg_mg_dl	total_insulin_u	auto_bolus_u	provenance
Dossi+AB	overall	300	81.319	0.125	0.000	51.264	75.222	18.556	136.890	2.499	1.450	Current Dossi arm rerun at 0d43d13cabf169531970cc07d0387dbb74f1b127 on 2026-07-25.
LoopAlgorithm+AB	overall	300	79.528	0.181	4.167	48.778	73.667	20.292	138.410	2.259	1.482	Frozen 2026-06-27 LoopAlgorithm.run(input:) reference at 2f5c630084aa0d72b8d14999e1e0f7c836b0c341; not the full Loop app; worst_tbr_54_pct is excluded from the manuscript because isolated pediatric fixtures exposed a comparator-bridge integration artifact.
Dossi-noAB	overall	300	71.014	0.069	0.000	42.486	66.319	28.917	152.489	1.447	0.000	Current Dossi arm rerun at 0d43d13cabf169531970cc07d0387dbb74f1b127 on 2026-07-25.
LoopAlgorithm-noAB	overall	300	70.903	0.000	0.000	42.000	66.542	29.097	153.061	1.323	0.000	Frozen 2026-06-27 LoopAlgorithm.run(input:) reference at 2f5c630084aa0d72b8d14999e1e0f7c836b0c341; automatic bolus disabled.
OpenAPS-noSMB	overall	300	69.431	0.000	0.000	42.111	67.250	30.569	152.649	1.065	0.000	Frozen 2026-06-27 oref0 determine-basal reference at 88cf032aa74ff25f69464a7d9cd601ee3940c0b3; SMB disabled.
OpenAPS+SMB	overall	300	74.667	0.278	29.167	43.819	71.875	25.056	144.327	2.107	1.109	Frozen 2026-06-27 oref0 determine-basal reference at 88cf032aa74ff25f69464a7d9cd601ee3940c0b3; not the full OpenAPS app; worst_tbr_54_pct is excluded from the manuscript because isolated pediatric fixtures exposed a comparator-bridge integration artifact.
TrioOref+SMB	overall	300	80.222	0.694	41.667	49.875	74.194	19.083	135.920	2.505	1.633	Frozen 2026-06-27 nightscout/trio-oref algorithm-boundary reference at 8282ce71a57d09a160e92ecd2baf28a70c89694d; not the full Trio app; worst_tbr_54_pct is excluded from the manuscript because isolated pediatric fixtures exposed a comparator-bridge integration artifact.
TrioOref-noSMB	overall	300	70.583	0.097	0.000	43.125	66.194	29.319	151.666	1.372	0.000	Frozen 2026-06-27 nightscout/trio-oref reference at 8282ce71a57d09a160e92ecd2baf28a70c89694d; SMB disabled.
Dossi+AB	adult	100	82.875	0.000	0.000	54.042	76.708	17.125	135.510	2.806	1.542	Current Dossi arm rerun at 0d43d13cabf169531970cc07d0387dbb74f1b127 on 2026-07-25.
LoopAlgorithm+AB	adult	100	79.167	0.000	0.000	43.625	71.917	20.833				Frozen 2026-06-27 LoopAlgorithm.run(input:) reference at 2f5c630084aa0d72b8d14999e1e0f7c836b0c341.
Dossi-noAB	adult	100	69.292	0.000	0.000	40.375	64.750	30.708	155.921	1.764	0.000	Current Dossi arm rerun at 0d43d13cabf169531970cc07d0387dbb74f1b127 on 2026-07-25.
LoopAlgorithm-noAB	adult	100	69.042	0.000	0.000	38.667	64.000	30.958				Frozen 2026-06-27 LoopAlgorithm.run(input:) reference at 2f5c630084aa0d72b8d14999e1e0f7c836b0c341.
OpenAPS+SMB	adult	100	74.583	0.250	0.000	42.250	70.917	25.167	144.811	2.494	1.288	Frozen 2026-06-27 oref0 determine-basal reference at 88cf032aa74ff25f69464a7d9cd601ee3940c0b3.
OpenAPS-noSMB	adult	100	68.917	0.000	0.000	41.083	65.875	31.083	155.000	1.324	0.000	Frozen 2026-06-27 oref0 determine-basal reference at 88cf032aa74ff25f69464a7d9cd601ee3940c0b3; SMB disabled.
TrioOref+SMB	adult	100	80.833	0.583	0.000	45.542	73.458	18.583	137.123	2.930	1.890	Frozen 2026-06-27 nightscout/trio-oref reference at 8282ce71a57d09a160e92ecd2baf28a70c89694d.
TrioOref-noSMB	adult	100	69.000	0.000	0.000	40.625	64.000	31.000	155.073	1.684	0.000	Frozen 2026-06-27 nightscout/trio-oref reference at 8282ce71a57d09a160e92ecd2baf28a70c89694d; SMB disabled.
