metric	value
rows_before_observed_low54	100
distinct_observed_low54_onsets	40
participants	33
fixture_days	37
requires_suspend_rows	0
trusted_predicted_low_rows	62
falling_trend_block_rows	38
post_low_recovery_rows	0
dossi_basal_median_uhr	0.75
dossi_basal_min_uhr	0.325
dossi_basal_max_uhr	2.1
predicted_min_60m_min_mgdl	70.0887
predicted_min_60m_max_mgdl	100.0
lead_time_to_low54_median_minutes	41.99
prediction_over_observed_nadir_median_mgdl	36.45
prediction_over_observed_nadir_min_mgdl	17.09
prediction_over_observed_nadir_max_mgdl	60.80
